year,rate
1700,677.2420091324201
1701,677.2420091324201
1702,677.2420091324201
1703,677.2420091324201
1704,677.2420091324201
1705,677.2420091324201
1706,677.2420091324201
1707,677.2420091324201
1708,677.2420091324201
1709,677.2420091324201
1710,677.2420091324201
1711,677.2420091324201
1712,677.2420091324201
1713,677.2420091324201
1714,677.2420091324201
1715,677.2420091324201
1716,677.2420091324201
1717,677.2420091324201
1718,677.2420091324201
1719,677.2420091324201
1720,677.2420091324201
1721,677.2420091324201
1722,677.2420091324201
1723,677.2420091324201
1724,677.2420091324201
1725,677.2420091324201
1726,677.2420091324201
1727,677.2420091324201
1728,677.2420091324201
1729,677.2420091324201
1730,677.2420091324201
1731,677.2420091324201
1732,677.2420091324201
1733,677.2420091324201
1734,677.2420091324201
1735,677.2420091324201
1736,677.2420091324201
1737,677.2420091324201
1738,677.2420091324201
1739,677.2420091324201
1740,677.2420091324201
1741,677.2420091324201
1742,677.2420091324201
1743,677.2420091324201
1744,677.2420091324201
1745,677.2420091324201
1746,677.2420091324201
1747,677.2420091324201
1748,677.2420091324201
1749,677.2420091324201
1750,677.2420091324201
1751,677.2420091324201
1752,677.2420091324201
1753,677.2420091324201
1754,677.2420091324201
1755,677.2420091324201
1756,677.2420091324201
1757,677.2420091324201
1758,677.2420091324201
1759,677.2420091324201
1760,677.2420091324201
1761,677.2420091324201
1762,677.2420091324201
1763,677.2420091324201
1764,677.2420091324201
1765,677.2420091324201
1766,677.2420091324201
1767,677.2420091324201
1768,677.2420091324201
1769,677.2420091324201
1770,677.2420091324201
1771,677.2420091324201
1772,677.2420091324201
1773,677.2420091324201
1774,677.2420091324201
1775,677.2420091324201
1776,677.2420091324201
1777,677.2420091324201
1778,677.2420091324201
1779,677.2420091324201
1780,677.2420091324201
1781,677.2420091324201
1782,677.2420091324201
1783,677.2420091324201
1784,677.2420091324201
1785,677.2420091324201
1786,677.2420091324201
1787,677.2420091324201
1788,677.2420091324201
1789,677.2420091324201
1790,677.2420091324201
1791,677.2420091324201
1792,677.2420091324201
1793,677.2420091324201
1794,677.2420091324201
1795,677.2420091324201
1796,677.2420091324201
1797,677.2420091324201
1798,677.2420091324201
1799,677.2420091324201
1800,677.2420091324201
1801,677.2420091324201
1802,677.2420091324201
1803,677.2420091324201
1804,677.2420091324201
1805,677.2420091324201
1806,677.2420091324201
1807,677.2420091324201
1808,677.2420091324201
1809,677.2420091324201
1810,692.4979359245647
1811,723.0097895088539
1812,753.5216430931432
1813,784.0334966774325
1814,814.5453502617218
1815,845.057203846011
1816,875.5690574303003
