ber_old_score,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2,F,G
A1,11683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,28887,11683,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,28506,28887,11683,0,0,0,0,0,0,0,0,0,0,0,0
B1,28346,28506,28887,11683,0,0,0,0,0,0,0,0,0,0,0
B2,28407,28346,28506,28887,11683,0,0,0,0,0,0,0,0,0,0
B3,28689,28407,28346,28506,28887,11683,0,0,0,0,0,0,0,0,0
C1,29192,28689,28407,28346,28506,28887,11683,0,0,0,0,0,0,0,0
C2,29916,29192,28689,28407,28346,28506,28887,11683,0,0,0,0,0,0,0
C3,30861,29916,29192,28689,28407,28346,28506,28887,11683,0,0,0,0,0,0
D1,32295,31085,30096,29328,28780,28454,28349,28465,28802,12485,0,0,0,0,0
D2,34531,32989,31668,30568,29690,29032,28595,28380,28385,28692,12730,0,0,0,0
E1,37457,35562,33887,32434,31202,30190,29400,28831,28482,28365,28661,12730,0,0,0
E2,40950,38701,36673,34865,33279,31914,30771,29848,29146,28604,28369,28661,12730,0,0
F,46724,43989,41475,39181,37109,35258,33628,32218,31030,29905,28941,28454,28534,13424,0
G,54156,50890,47845,45021,42418,40037,37876,35936,34218,32456,30696,29361,28591,28506,13064
