Initial_BER,F,E2,E1,D2,D1,C3,C2,C1,B3,B2,B1,A3,A2,A1,,,,,,,,,,,,,,,
A2,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,20000
A3,,,,,,,,,,,,,18000,32000,,,,,,,,,,,,,,18000,32000
B1,,,,,,,,,,,,15000,25000,45000,,,,,,,,,,,,,15000,25000,45000
B2,,,,,,,,,,,6000,18000,30000,50000,,,,,,,,,,,,6000,18000,30000,50000
B3,,,,,,,,,,8000,12000,22000,35000,55000,,,,,,,,,,,8000,12000,22000,35000,55000
C1,,,,,,,,,12000,18000,22000,32000,45000,65000,,,,,,,,,,12000,18000,22000,32000,45000,65000
C2,,,,,,,,8000,15000,20000,25000,35000,48000,68000,,,,,,,,,8000,15000,20000,25000,35000,48000,68000
C3,,,,,,,8000,12000,20000,25000,30000,40000,52000,72000,,,,,,,,8000,12000,20000,25000,30000,40000,52000,72000
D1,,,,,,8000,12000,18000,25000,30000,35000,45000,58000,78000,,,,,,,8000,12000,18000,25000,30000,35000,45000,58000,78000
D2,,,,,5000,10000,15000,20000,30000,35000,40000,50000,62000,82000,,,,,,5000,10000,15000,20000,30000,35000,40000,50000,62000,82000
E1,,,,8000,10000,15000,20000,25000,35000,40000,45000,55000,68000,88000,,,,,8000,10000,15000,20000,25000,35000,40000,45000,55000,68000,88000
E2,,,6000,10000,12000,18000,22000,28000,38000,42000,48000,58000,72000,92000,,,,6000,10000,12000,18000,22000,28000,38000,42000,48000,58000,72000,92000
F,,10000,15000,18000,21000,25000,30000,35000,45000,50000,55000,65000,80000,100000,,,10000,15000,18000,21000,25000,30000,35000,45000,50000,55000,65000,80000,100000
G,6500,15000,18500,22000,25000,30000,35000,40000,50000,55000,60000,70000,85000,105000,,6500,15000,18500,22000,25000,30000,35000,40000,50000,55000,60000,70000,85000,105000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ber_old_score,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2,F,G,,,,,,,,,,,,,,
A1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
A2,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
A3,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
B1,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
B2,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
B3,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
C1,150,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
C2,175,150,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
C3,200,175,150,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
D1,230,205,180,155,130,105,80,55,30,13,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
D2,268,242,218,192,168,142,118,92,68,38,15,NA,NA,NA,NA,,,,,,,,,,,,,,
E1,308,282,258,232,208,182,158,132,108,78,40,15,NA,NA,NA,,,,,,,,,,,,,,
E2,348,322,298,272,248,222,198,172,148,118,80,40,15,NA,NA,,,,,,,,,,,,,,
F,402,378,352,328,302,278,252,228,202,172,135,95,55,25,NA,,,,,,,,,,,,,,
G,462,438,412,388,362,338,312,288,262,232,195,155,115,60,18,,,,,,,,,,,,,,
