construction_year,year,mean_ber,space_heat
1700-1977,2009,344.2233338,306.2233338
1700-1977,2010,299.5176435,261.5176435
1700-1977,2011,290.0543309,252.0543309
1700-1977,2012,294.2773692,256.2773692
1700-1977,2013,314.1872229,276.1872229
1700-1977,2014,308.0238619,270.0238619
1700-1977,2015,309.1249151,271.1249151
1700-1977,2016,304.9592489,266.9592489
1700-1977,2017,302.7134527,264.7134527
1700-1977,2018,302.1602377,264.1602377
1700-1977,2019,287.9746979,249.9746979
1700-1977,2020,274.1528177,236.1528177
1700-1977,2021,274.666277,236.666277
1700-1977,2022,260.5367865,222.5367865
1700-1977,2023,243.7482377,205.7482377
1700-1977,2024,250.8802953,212.8802953
1700-1977,2025,255.4107056,217.4107056
1978-1999,2009,264.0381867,226.0381867
1978-1999,2010,236.2199586,198.2199586
1978-1999,2011,230.3306221,192.3306221
1978-1999,2012,236.5228496,198.5228496
1978-1999,2013,247.0056042,209.0056042
1978-1999,2014,243.965468,205.965468
1978-1999,2015,240.1827856,202.1827856
1978-1999,2016,237.4471659,199.4471659
1978-1999,2017,230.706973,192.706973
1978-1999,2018,226.3695686,188.3695686
1978-1999,2019,217.1280784,179.1280784
1978-1999,2020,205.0022436,167.0022436
1978-1999,2021,199.3409717,161.3409717
1978-1999,2022,188.1821591,150.1821591
1978-1999,2023,174.0402525,136.0402525
1978-1999,2024,170.9396855,132.9396855
1978-1999,2025,174.5966189,136.5966189
2000-2004,2009,212.6250322,174.6250322
2000-2004,2010,203.384324,165.384324
2000-2004,2011,197.8936891,159.8936891
2000-2004,2012,204.2144422,166.2144422
2000-2004,2013,212.7004424,174.7004424
2000-2004,2014,219.10964,181.10964
2000-2004,2015,215.8679517,177.8679517
2000-2004,2016,207.0726228,169.0726228
2000-2004,2017,202.9632344,164.9632344
2000-2004,2018,193.7389097,155.7389097
2000-2004,2019,186.8086675,148.8086675
2000-2004,2020,179.832925,141.832925
2000-2004,2021,173.4277317,135.4277317
2000-2004,2022,165.6480143,127.6480143
2000-2004,2023,150.7096433,112.7096433
2000-2004,2024,147.7293839,109.7293839
2000-2004,2025,150.0471032,112.0471032
2005-2009,2009,161.0664159,123.0664159
2005-2009,2010,161.3465676,123.3465676
2005-2009,2011,175.083524,137.083524
2005-2009,2012,178.5196156,140.5196156
2005-2009,2013,181.0529226,143.0529226
2005-2009,2014,188.0013889,150.0013889
2005-2009,2015,186.8291557,148.8291557
2005-2009,2016,177.7574345,139.7574345
2005-2009,2017,176.8783804,138.8783804
2005-2009,2018,171.5449348,133.5449348
2005-2009,2019,164.5339963,126.5339963
2005-2009,2020,155.1702912,117.1702912
2005-2009,2021,150.2206555,112.2206555
2005-2009,2022,139.488342,101.488342
2005-2009,2023,126.5659436,88.5659436
2005-2009,2024,123.2582066,85.25820657
2005-2009,2025,123.9882538,85.98825376
2010-2014,2009,NA,NA
2010-2014,2010,111.3857143,73.38571429
2010-2014,2011,108.1184408,70.11844078
2010-2014,2012,98.13169165,60.13169165
2010-2014,2013,94.84289617,56.84289617
2010-2014,2014,80.48292108,42.48292108
2010-2014,2015,80.943855,42.943855
2010-2014,2016,119.5100503,81.51005025
2010-2014,2017,124.3478261,86.34782609
2010-2014,2018,128.8676471,90.86764706
2010-2014,2019,131.5,93.5
2010-2014,2020,111.1632948,73.1632948
2010-2014,2021,111.6686461,73.66864608
2010-2014,2022,95.97772277,57.97772277
2010-2014,2023,76.97068404,38.97068404
2010-2014,2024,77.55774963,39.55774963
2010-2014,2025,78.01304049,40.01304049
2015-2019,2009,NA,NA
2015-2019,2010,NA,NA
2015-2019,2011,NA,NA
2015-2019,2012,NA,NA
2015-2019,2013,NA,NA
2015-2019,2014,NA,NA
2015-2019,2015,60.83919156,22.83919156
2015-2019,2016,58.66401803,20.66401803
2015-2019,2017,57.77809388,19.77809388
2015-2019,2018,56.96528698,18.96528698
2015-2019,2019,55.28846154,17.28846154
2015-2019,2020,49.17800037,15
2015-2019,2021,53.20078962,15.20078962
2015-2019,2022,62.24219137,24.24219137
2015-2019,2023,47.08683164,15
2015-2019,2024,43.24595142,15
2015-2019,2025,57.439412,19.439412
2020-2024,2009,NA,NA
2020-2024,2010,NA,NA
2020-2024,2011,NA,NA
2020-2024,2012,NA,NA
2020-2024,2013,NA,NA
2020-2024,2014,NA,NA
2020-2024,2015,NA,NA
2020-2024,2016,NA,NA
2020-2024,2017,NA,NA
2020-2024,2018,NA,NA
2020-2024,2019,58.97435897,20.97435897
2020-2024,2020,45.68441744,15
2020-2024,2021,41.1293721,15
2020-2024,2022,38.22438749,15
2020-2024,2023,38.52779821,15
2020-2024,2024,39.12113911,15
2020-2024,2025,37.68621064,15
2025-2029,2009,NA,NA
2025-2029,2010,NA,NA
2025-2029,2011,NA,NA
2025-2029,2012,NA,NA
2025-2029,2013,NA,NA
2025-2029,2014,NA,NA
2025-2029,2015,NA,NA
2025-2029,2016,NA,NA
2025-2029,2017,NA,NA
2025-2029,2018,NA,NA
2025-2029,2019,NA,NA
2025-2029,2020,NA,NA
2025-2029,2021,NA,NA
2025-2029,2022,37.5,15
2025-2029,2023,62.5,24.5
2025-2029,2024,NA,NA
2025-2029,2025,37.03135848,15
All years of construction,2009,244.2931601,206.2931601
All years of construction,2010,242.8397565,204.8397565
All years of construction,2011,243.3904193,205.3904193
All years of construction,2012,245.9342198,207.9342198
All years of construction,2013,254.3292377,216.3292377
All years of construction,2014,249.0694004,211.0694004
All years of construction,2015,241.9717074,203.9717074
All years of construction,2016,232.8814862,194.8814862
All years of construction,2017,222.5854904,184.5854904
All years of construction,2018,209.1328919,171.1328919
All years of construction,2019,195.6477846,157.6477846
All years of construction,2020,180.5727741,142.5727741
All years of construction,2021,180.5451912,142.5451912
All years of construction,2022,168.5830011,130.5830011
All years of construction,2023,161.0065408,123.0065408
All years of construction,2024,168.065564,130.065564
All years of construction,2025,173.5464517,135.5464517
