year,price,fuel
2014,7.19,gas
2015,7.05,gas
2016,6.71,gas
2017,6.47,gas
2018,7.03,gas
2019,7.26,gas
2020,6.9,gas
2021,7.09,gas
2022,12,gas
2023,15.6,gas
2024,13.25,gas
2014,9.65,oil
2015,7.63,oil
2016,6.64,oil
2017,7.49,oil
2018,8.47,oil
2019,7.92,oil
2020,6.63,oil
2021,7.97,oil
2022,13.22,oil
2023,12.13,oil
2024,11.76,oil
2014,6.95,solid_fuel
2015,7.27,solid_fuel
2016,7.41,solid_fuel
2017,7.36,solid_fuel
2018,7.48,solid_fuel
2019,7.36,solid_fuel
2020,7.48,solid_fuel
2021,7.18,solid_fuel
2022,9.1,solid_fuel
2023,12.3,solid_fuel
2024,11.36,solid_fuel
2008,17.97,gas
2009,18.515,gas
2010,17.465,gas
2011,18.56,gas
2012,21.12,gas
2013,22.375,gas
2014,23.675,gas
2015,23.3,gas
2016,22.365,gas
2017,22.295,gas
2018,23.1,gas
2019,23.77,gas
2020,24,gas
2021,26.095,gas
2022,27.275,gas
2023,32.415,gas
2024,35.36,gas
