year,wem,wam,ber,hli,heat_pump_fraction,floor_area,source
2011,6994,6994,120,2.7,0.09,198.3,cso
2012,4911,4911,120,2.7,0.09,203.7,cso
2013,4575,4575,120,2.7,0.09,197.7,cso
2014,5518,5518,120,2.7,0.09,184.8,cso
2015,7219,7219,85,2,0.4,175.7,cso
2016,9728,9728,85,2,0.4,166.6,cso
2017,14230,14230,85,2,0.4,153.3,cso
2018,17790,17790,85,2,0.4,148.9,cso
2019,21033,21033,85,2,0.4,142.7,cso
2020,20490,20490,40,1.6,1,138.6,cso
2021,20466,20466,40,1.6,1,132.2,cso
2022,29623,29623,40,1.6,1,124.1,cso
2023,32498,32498,40,1.6,1,118.7,cso
2024,30168,30168,40,1.6,1,118.1,cso
2025,35000,35000,40,1.6,1,114,cb
2026,39000,39000,40,1.6,1,110,cb
2030,40500,60000,25,1,1,100,
2040,39700,39700,20,0.8,1,100,
