question_code,response_code,du_average,calibration_run
q13,1,0.005392525577917695,1
q13,2,0.00588727998547256,1
q13,3,0.006295901956036687,1
q13,4,0.006802117102779448,1
q13,5,0.010470615467056632,1
q13,6,0.010871503502130508,1
q52,1,0.0024672111321706325,1
q52,2,0.0018264463869854808,1
q52,3,0.004668226407375187,1
q52,4,0.007758606458082795,1
theta,NA,-0.08872302649979247,1
q13,1,0.0028188240248709917,2
q13,2,0.003645244287326932,2
q13,3,0.00426257133949548,2
q13,4,0.004862315603531897,2
q13,5,0.007985625881701708,2
q13,6,0.008440729696303606,2
q52,1,0.003230355607229285,2
q52,2,0.0022671865299344063,2
q52,3,0.006809321115724742,2
q52,4,0.008130453526973724,2
theta,NA,-0.08575635865781805,2
q13,1,0.006249231053516269,3
q13,2,0.007369867758825421,3
q13,3,0.007736530271358788,3
q13,4,0.00811744068050757,3
q13,5,0.010941650718450546,3
q13,6,0.01155722513794899,3
q52,1,0.004454708163052601,3
q52,2,0.0028242479311302304,3
q52,3,0.006342215812765062,3
q52,4,0.007848223438486457,3
theta,NA,-0.09199025911220815,3
q13,1,0.00374834262765944,4
q13,2,0.0042270582634955645,4
q13,3,0.00480240338947624,4
q13,4,0.00513165513984859,4
q13,5,0.00833126762881875,4
q13,6,0.00858602998778224,4
q52,1,0.0020182799198664725,4
q52,2,0.0014035306521691382,4
q52,3,0.005678490619175136,4
q52,4,0.00773638254031539,4
theta,NA,-0.08524900630436605,4
q13,1,0.00498028052970767,5
q13,2,0.005996402644086629,5
q13,3,0.00659942755009979,5
q13,4,0.006888398842420429,5
q13,5,0.01034157257527113,5
q13,6,0.010588099248707294,5
q52,1,0.004133041496970691,5
q52,2,0.0025830029044300318,5
q52,3,0.006939148879610002,5
q52,4,0.008910208009183407,5
theta,NA,-0.09016799235541839,5
q13,1,0.0037316428497433662,6
q13,2,0.004031745309475809,6
q13,3,0.004365638364106417,6
q13,4,0.004646147834137082,6
q13,5,0.007795901736244559,6
q13,6,0.007969479309394956,6
q52,1,0.0025645469431765378,6
q52,2,0.0018770569004118443,6
q52,3,0.006242127972654998,6
q52,4,0.007139533990994096,6
theta,NA,-0.08526657551556127,6
q13,1,0.006196040892973542,7
q13,2,0.00763282785192132,7
q13,3,0.008223612967412919,7
q13,4,0.00839492678642273,7
q13,5,0.011213390855118632,7
q13,6,0.011261267587542534,7
q52,1,0.0019169191655237228,7
q52,2,0.0012112089898437262,7
q52,3,0.005601476295851171,7
q52,4,0.006554195191711187,7
theta,NA,-0.0867942652948841,7
q13,1,0.004041638225317001,8
q13,2,0.005084455944597721,8
q13,3,0.005856110015884042,8
q13,4,0.006340338266454637,8
q13,5,0.00980868237093091,8
q13,6,0.010179219068959355,8
q52,1,0.0043869757537322585,8
q52,2,0.0024241750361397862,8
q52,3,0.006998452125117183,8
q52,4,0.008378492668271065,8
theta,NA,-0.0893631121944054,8
q13,1,0.004144858568906784,9
q13,2,0.00488468399271369,9
q13,3,0.004746675374917686,9
q13,4,0.005703214614186436,9
q13,5,0.008954823482781649,9
q13,6,0.009221514221280813,9
q52,1,0.0038970096902630758,9
q52,2,0.0023662945022806525,9
q52,3,0.006273544044233859,9
q52,4,0.007476398954167962,9
theta,NA,-0.08814265367254848,9
q13,1,0.003814609255641699,10
q13,2,0.004490712773986161,10
q13,3,0.005772733362391591,10
q13,4,0.00576233328320086,10
q13,5,0.009219243191182613,10
q13,6,0.009377195267006755,10
q52,1,0.002483951859176159,10
q52,2,0.0016716005047783256,10
q52,3,0.005843604914844036,10
q52,4,0.008619798114523292,10
theta,NA,-0.08750035354751162,10
q13,1,0.005073840031400323,11
q13,2,0.005388221004977822,11
q13,3,0.0065361898159608245,11
q13,4,0.006740436656400561,11
q13,5,0.009962149197235703,11
q13,6,0.0103042081464082,11
q52,1,0.003303596044133883,11
q52,2,0.0020580656128004193,11
q52,3,0.005181509535759687,11
q52,4,0.0072521367110311985,11
theta,NA,-0.08851109986426309,11
q13,1,0.003167639020830393,12
q13,2,0.0041547357104718685,12
q13,3,0.005166788003407419,12
q13,4,0.00542150839464739,12
q13,5,0.00861566374078393,12
q13,6,0.009009990841150284,12
q52,1,0.003005562277394347,12
q52,2,0.0020176773541606963,12
q52,3,0.0061978797893971205,12
q52,4,0.0077506976667791605,12
theta,NA,-0.08748228053809726,12
q13,1,0.0040884611662477255,13
q13,2,0.0048618175205774605,13
q13,3,0.005555549520067871,13
q13,4,0.005622734781354666,13
q13,5,0.009094669949263334,13
q13,6,0.009419533424079418,13
q52,1,0.0031461825856240466,13
q52,2,0.0022409725352190435,13
q52,3,0.0054740391205996275,13
q52,4,0.008061239728704095,13
theta,NA,-0.08734666463715257,13
q13,1,0.003937101224437356,14
q13,2,0.004544273891951889,14
q13,3,0.004738508025184274,14
q13,4,0.005135635670740157,14
q13,5,0.007821997860446572,14
q13,6,0.008589797420427203,14
q52,1,0.0022560313664143905,14
q52,2,0.0015191282727755606,14
q52,3,0.005012845271266997,14
q52,4,0.006074374541640282,14
theta,NA,-0.08621058081916999,14
q13,1,0.0038106460124254227,15
q13,2,0.004990865883883089,15
q13,3,0.005151443532668054,15
q13,4,0.006023785623256117,15
q13,5,0.00945339654572308,15
q13,6,0.00946863368153572,15
q52,1,0.002327973532374017,15
q52,2,0.0013252797070890665,15
q52,3,0.0048083936562761664,15
q52,4,0.006478394381701946,15
theta,NA,-0.08711414062418044,15
q13,1,0.004387946333736181,16
q13,2,0.005018217605538666,16
q13,3,0.006152918213047087,16
q13,4,0.0063363839872181416,16
q13,5,0.010008375626057386,16
q13,6,0.010479569667950273,16
q52,1,0.0032093205154524185,16
q52,2,0.0018545055645518005,16
q52,3,0.0053225921001285315,16
q52,4,0.007945699384436011,16
theta,NA,-0.0892209587036632,16
q13,1,0.005470138508826494,17
q13,2,0.006242039380595088,17
q13,3,0.006894735270179808,17
q13,4,0.007352030777838081,17
q13,5,0.01069378829561174,17
q13,6,0.011017012875527143,17
q52,1,0.0019206458673579618,17
q52,2,0.0013981656229589134,17
q52,3,0.0040076482109725475,17
q52,4,0.006255127489566803,17
theta,NA,-0.08774041142260103,17
q13,1,0.0050087429117411375,18
q13,2,0.006211479310877621,18
q13,3,0.007091597304679453,18
q13,4,0.007619531999807805,18
q13,5,0.01070529269054532,18
q13,6,0.011054902104660869,18
q52,1,0.003005098376888782,18
q52,2,0.0018570319516584277,18
q52,3,0.0077008584048599005,18
q52,4,0.01026005088351667,18
theta,NA,-0.09004458750132471,18
q13,1,0.0056807303335517645,19
q13,2,0.006664991611614823,19
q13,3,0.007193123921751976,19
q13,4,0.007736048602964729,19
q13,5,0.011026438791304827,19
q13,6,0.011282079154625535,19
q52,1,0.003188046408467926,19
q52,2,0.0018591309199109674,19
q52,3,0.006439155782572925,19
q52,4,0.008378872415050864,19
theta,NA,-0.08971393082219947,19
q13,1,0.006399747217074037,20
q13,2,0.007192199642304331,20
q13,3,0.007562441634945571,20
q13,4,0.008100285427644849,20
q13,5,0.011722195893526077,20
q13,6,0.011941577773541212,20
q52,1,0.0032681255688657984,20
q52,2,0.002389313536696136,20
q52,3,0.005897561088204384,20
q52,4,0.007959733484312892,20
theta,NA,-0.08995051214515115,20
q13,1,0.003820195561274886,21
q13,2,0.004632242023944855,21
q13,3,0.004998525604605675,21
q13,4,0.006063827313482761,21
q13,5,0.009021507110446692,21
q13,6,0.009648822247982025,21
q52,1,0.002788330355542712,21
q52,2,0.002124605991411954,21
q52,3,0.005557639291509986,21
q52,4,0.007966083940118551,21
theta,NA,-0.08777219655894442,21
q13,1,0.003822284284979105,22
q13,2,0.004133927868679166,22
q13,3,0.0048384389374405146,22
q13,4,0.005158770829439163,22
q13,5,0.008130531758069992,22
q13,6,0.008514552609995008,22
q52,1,0.003160011605359614,22
