question,question_code,response,response_code
Gender,qa,Male,1
Gender,qa,Female,2
Gender,qa,Other,3
Gender,qa,Prefer not to say,4
Age,qb,18-24,1
Age,qb,25-34,2
Age,qb,35-44,3
Age,qb,45-54,4
Age,qb,55-64,5
Age,qb,65+,6
Age,qb,Refused,7
County,qc1,Carlow,1
County,qc1,Cavan,2
County,qc1,Clare,3
County,qc1,Cork,4
County,qc1,Donegal,5
County,qc1,Dublin,6
County,qc1,Galway,7
County,qc1,Kerry,8
County,qc1,Kildare,9
County,qc1,Kilkenny,10
County,qc1,Laois,11
County,qc1,Leitrim,12
County,qc1,Limerick,13
County,qc1,Longford,14
County,qc1,Louth,15
County,qc1,Mayo,16
County,qc1,Meath,17
County,qc1,Monaghan,18
County,qc1,Offaly,19
County,qc1,Roscommon,20
County,qc1,Sligo,21
County,qc1,Tipperary,22
County,qc1,Waterford,23
County,qc1,Westmeath,24
County,qc1,Wexford,25
County,qc1,Wicklow,26
Region,qc2,Dublin,1
Region,qc2,Rest of Leinster,2
Region,qc2,Munster,3
Region,qc2,Ulster/Connacht,4
Work status,qe,Working full time - working 30 hours per week or more,1
Work status,qe,Working part time - working between 8 and 29 hours per week,2
Work status,qe,"Not working / temporarily unemployed / sick, but seeking work",3
Work status,qe,Not working and not seeking work / Student,4
Work status,qe,Retired on a state pension only,5
Work status,qe,Retired with a private pension,6
Work status,qe,"House person, housewife, househusband, etc.",7
Education level,qf,No education/only basic education,1
Education level,qf,Primary School Level,2
Education level,qf,Lower Secondary (Junior Certificate / GCSE),3
Education level,qf,Higher Secondary (Leaving Certificate / A-levels),4
Education level,qf,Post Leaving Certificate (e.g. VEC),5
Education level,qf,Third Level Non-Degree (e.g. Diploma),6
Education level,qf,Third Level Degree,7
Education level,qf,"Third Level Postgraduate Degree (e.g. Master, PhD)",8
Education level,qf,Prefer not to say,9
Property type,q1,Flat or apartment,1
Property type,q1,Terraced house,2
Property type,q1,Semi-detached house,3
Property type,q1,Detached house,4
Property type,q1,Other,5
Stories in building,q2,One,1
Stories in building,q2,Two,2
Stories in building,q2,Three or more,3
Number of property's bedrooms,q3,One,1
Number of property's bedrooms,q3,Two,2
Number of property's bedrooms,q3,Three,3
Number of property's bedrooms,q3,Four,4
Number of property's bedrooms,q3,Five or more,5
Housing situation/tenure,q4,I live in a property that myself or family own outright,1
Housing situation/tenure,q4,I live in a property that myself or family own with a mortgage,2
Housing situation/tenure,q4,I live in a privately rented property,3
Housing situation/tenure,q4,I live in a property rented from a local authority,4
Housing situation/tenure,q4,Other,5
Year property built,q5,Before 1976,1
Year property built,q5,1976-1991,2
Year property built,q5,1992-2004,3
Year property built,q5,2005-2010,4
Year property built,q5,2011-2021,5
Year property built,q5,After 2021,6
Year property built,q5,Don't know,7
Building Energy Rating (BER) of property lived in,q6,A,1
Building Energy Rating (BER) of property lived in,q6,A1,2
