serial,qa,qb,actualage,qc1,qc2,qe,qf,q1,q2,q3,q4,q5,q6,q7,q81,q82,q83,q84,q85,q86,q87,q88,q89,q9,q10,q11,q121,q122,q123,q124,q125,q126,q127,q128,q129,q13,q13n,q14,q14n,q15,q15n,q16,q16n,q17,q17n,q18,q18n,q19,q19n,q20,q20n,q21,q21n,q22,q23,q24,q2501,q2502,q2503,q2504,q2505,q2506,q2507,q2508,q2509,q2510,q26_1_3,q26_1_4,q26_2_1,q26_2_2,q27,q28,q29,q30_1,q30_2,q30_3,q30_4,q30_5,q30_6,q36,q37,q38,q39,q52,q53_5,qg,qh,qi,qj
71,1,2,33,5,4,1,8,4,2,4,2,3,8,5,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,1,0,0,0,0,0,8,2000,5,250,3,180,2,1500,NA,NA,NA,NA,3,250,8,8,2,4,5,1,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,6,4,5,4,2,1,2,3,4,4,4,3,2,2,7,2,2
72,2,6,68,6,1,7,4,3,2,4,1,3,7,7,0,1,1,0,0,1,1,0,0,5,2,2,0,0,0,0,0,0,0,1,0,10,2500,13,NA,2,140,NA,NA,13,NA,13,NA,NA,NA,12,12,3,5,7,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,4,5,5,4,5,1,4,1,1,3,3,1,3,3,8,5,2
74,1,2,31,6,1,1,7,2,2,3,2,1,11,3,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,4,1200,4,200,2,120,NA,NA,5,250,1,60,NA,NA,7,7,1,2,6,5,2,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,4,4,5,4,3,4,4,4,2,2,3,4,3,2,3,4,7,5,1
75,1,4,47,6,1,2,7,1,2,3,2,4,3,3,0,1,0,1,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,8,2000,12,1000,10,500,NA,NA,4,200,3,150,NA,NA,13,-97,NA,NA,3,2,1,0,0,0,0,0,1,0,1,0,0,9,NA,6,NA,1,3,3,4,3,4,3,4,4,3,2,4,3,2,5,1,3,5,1
76,1,6,65,24,2,6,6,2,2,4,1,5,7,5,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,3,900,6,300,1,90,NA,NA,6,300,1,90,NA,NA,6,6,2,3,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,5,4,4,4,2,4,3,4,4,3,3,3,2,6,3,2
77,2,1,24,4,3,1,8,4,2,4,2,3,8,3,0,0,1,1,0,1,1,1,0,4,2,2,1,0,1,1,0,1,0,0,0,12,3000,9,450,2,130,1,60,8,400,1,70,4,300,5,5,4,7,2,2,1,0,1,1,0,0,0,1,1,0,0,5,6,2,2,4,4,3,3,4,4,4,4,3,1,4,4,4,2,5,4,3,5,1
79,2,2,34,3,3,7,5,4,2,3,2,3,23,6,0,1,1,0,0,1,1,0,0,8,2,1,0,0,0,1,0,0,0,0,0,2,700,5,250,13,NA,7,NA,NA,NA,NA,NA,10,NA,12,12,3,6,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,3,5,6,5,4,1,4,2,1,4,3,2,3,1,7,5,1
81,2,5,64,4,3,7,4,4,1,4,1,3,23,6,0,1,1,0,0,1,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,4,1200,6,300,3,180,2,1000,NA,NA,NA,NA,1,30,6,6,1,2,1,NA,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,10,3,4,4,2,4,3,3,4,4,2,1,4,4,7,3,2
82,2,4,46,5,4,2,6,4,1,3,2,4,23,4,1,0,0,0,0,0,0,0,0,NA,2,4,0,0,0,0,0,0,0,1,0,6,1500,6,310,5,250,NA,NA,NA,NA,NA,NA,9,1500,9,9,5,9,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,10,3,5,3,3,2,2,5,3,4,2,1,3,1,4,5,1
83,2,6,70,6,1,6,3,1,1,2,1,6,3,2,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,NA,NA,5,5,9,NA,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,5,9,1,4,1,3,1,3,4,4,4,5,2,NA,4,2,1,2
84,2,5,64,10,2,6,8,3,2,4,2,3,23,5,0,0,0,0,0,1,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1000,4,230,2,130,NA,NA,3,170,2,130,NA,NA,5,5,3,6,3,5,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,3,5,5,5,2,1,1,2,4,4,3,1,4,2,3,1,2
87,2,6,68,24,2,6,6,4,2,4,1,2,23,6,1,0,0,0,0,0,0,0,0,NA,2,1,0,0,0,0,0,0,0,1,0,3,960,5,270,4,210,7,NA,NA,NA,NA,NA,NA,NA,7,7,6,12,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,3,4,5,2,2,5,3,3,1,3,4,2,1,2,3,1,2
89,1,3,41,6,1,7,7,3,2,3,2,3,23,4,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,1,100,6,300,3,150,NA,NA,8,400,2,100,NA,NA,8,8,1,2,3,2,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,3,4,1,5,1,5,1,1,1,2,4,5,1,5,4,5,5,1
90,2,2,33,13,3,2,7,3,2,3,2,2,11,4,0,1,0,0,0,1,1,0,0,4,2,2,0,0,0,1,0,0,0,0,0,6,1500,7,395,3,170,NA,NA,5,250,1,30,3,250,6,6,2,4,5,2,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,4,10,2,5,4,5,1,2,2,4,4,5,1,2,2,8,5,1
91,2,1,21,22,3,4,5,4,2,4,1,4,8,4,0,1,1,0,0,0,0,0,0,8,2,1,0,0,1,0,0,0,0,0,0,13,NA,13,NA,13,NA,7,NA,NA,NA,NA,NA,NA,NA,6,6,3,6,4,5,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,2,2,6,5,5,5,4,4,3,2,4,5,2,1,3,1,6,5,2
92,1,6,73,26,2,5,7,4,2,4,1,3,3,2,0,1,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,1,0,5,1250,9,450,1,40,NA,NA,NA,NA,NA,NA,NA,NA,7,7,4,8,6,5,3,0,0,0,0,0,0,0,0,1,0,6,NA,4,NA,5,4,7,4,3,4,3,2,1,2,4,4,4,2,5,2,3,3,2
93,2,6,65,14,2,4,5,4,1,3,1,1,23,3,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,8,2000,4,220,3,175,1,500,NA,NA,NA,NA,9,1500,7,7,2,4,6,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,4,9,5,5,4,4,1,2,5,4,4,3,2,3,2,2,4,2
94,2,4,47,22,3,2,6,4,1,3,1,2,23,4,1,0,0,0,0,0,0,0,0,NA,1,4,0,0,1,0,0,0,0,0,0,6,1700,6,300,5,250,NA,NA,NA,NA,NA,NA,9,1500,6,6,5,10,5,5,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,7,4,5,4,3,2,2,3,2,4,2,1,3,1,5,2,2
96,1,4,46,1,2,1,4,4,1,4,2,4,9,5,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,1,0,6,1500,8,440,6,300,2,1200,NA,NA,NA,NA,NA,NA,8,8,2,4,4,5,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,4,9,4,4,3,2,2,2,2,4,4,2,4,4,1,9,5,1
97,2,5,60,6,1,6,4,2,1,2,1,1,23,7,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,1,0,13,NA,13,NA,13,NA,NA,NA,13,NA,13,NA,NA,NA,4,4,1,2,1,NA,3,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,4,9,4,4,4,5,2,3,5,1,3,2,1,2,4,2,1,2
98,2,5,61,9,2,7,4,3,2,3,1,3,22,6,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,4,1000,9,450,7,350,2,1000,NA,NA,NA,NA,1,50,7,7,3,5,1,NA,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,4,4,2,3,3,1,2,3,3,4,2,1,1,2,7,5,2
