year,koe/m2,kWh/m2,
2000,13.4,155.8,17454.304
2001,13.8,160.5,17975.328
2002,14,162.8,18235.84
2003,14.2,165.1,18496.352
2004,13.7,159.3,17845.072
2005,14.5,168.6,18887.12
2006,13.6,158.2,17714.816
2007,13.3,154.7,17324.048
2008,12.6,146.5,16412.256
2009,11.8,137.2,15370.208
2010,10.5,122.1,13676.88
2011,9.8,114.0,12765.088
2012,8.95,104.1,11657.912
2013,8.72,101.4,11358.3232
2014,8.19,95.2,10667.9664
2015,7.94,92.3,10342.3264
2016,8.87,103.2,11553.7072
2017,8.4,97.7,10941.504
2018,8.8,102.3,11462.528
2019,8.44,98.2,10993.6064
2020,8.87,103.2,11553.7072
2021,8.52,99.1,11097.8112
2022,7.38,85.8,9612.8928
