construction_year,BerRating
1753,838.05
1753,609.75
1753,430.75
1759,446.57
1760,446.88
1760,212.24
1760,799.04
1760,362.24
1760,574.6
1760,309.83
1760,628.89
1760,330.53
1760,217.14
1760,65.29
1760,295.66
1760,296.42
1760,436
1760,239.19
1760,347.38
1760,101.13
1760,440.76
1760,731.65
1760,244.77
1760,181.2
1760,490.44
1760,411.4
1760,403.76
1760,536.78
1760,95.82
1760,132.9
1760,295.54
1770,224.62
1770,258.27
1770,162.82
1770,291.71
1775,268.58
1777,140.89
1780,205.62
1780,529.98
1780,329.37
1780,607.05
1780,197.16
1780,687.03
1780,356.59
1780,431.87
1780,321.04
1780,309.92
1780,440.24
1780,229.7
1780,273.17
1789,364.65
1789,276.41
1790,235.9
1790,155.01
1790,536.56
1790,331.24
1790,316.31
1790,353.17
1790,393.39
1790,156.15
1791,319.57
1791,283.4
1796,144.5
1796,181.45
1798,575.86
1798,611.21
1800,414.9
1800,648.64
1800,171.86
1800,212.08
1800,256.18
1800,634.7
1800,729.11
1800,121.51
1800,274.88
1800,288.97
1800,393.97
1800,226.65
1800,646.68
1800,483.64
1800,448.93
1800,838.16
1800,224.93
1800,469.48
1800,503.11
1800,273.17
1800,182.06
1800,235.81
1800,767.98
1800,458.73
1800,573.63
1800,399.61
1800,302.77
1800,1108.94
1800,259.33
1800,752.04
1800,354.47
1800,417.34
1800,389.62
1800,266.13
1800,455.78
1800,182.02
1800,231.95
1800,357.53
1800,273.25
1800,1647.28
1800,653.65
1800,267.86
1800,1955.58
1800,409.92
1800,135.18
1800,15.62
1800,524
1800,148.54
1800,210.89
1800,351.79
1800,491.58
1800,368.8
1800,586.08
1800,306.72
1800,197.54
1800,564.75
1800,427.46
1800,329.46
1800,355.1
1800,463.09
1800,429.17
1800,-13.64
1800,133.61
1800,206.43
1800,230.82
1800,199.71
1800,339.77
1800,229.18
1800,615.04
1800,371.65
1800,268.05
1800,272.93
1800,568.97
1800,251.71
1800,294.37
1800,278.28
1800,663.88
1800,360.66
1800,406.31
1800,335.18
1800,660.03
1800,414.6
1800,409.84
1800,340.93
1800,365.23
1800,392.49
1800,336.21
1800,614.62
1800,465.63
1800,256.09
1800,198.12
1800,240.33
1800,317.76
1800,845.6
1800,403.49
1800,523.49
1800,436.65
1800,470.33
1800,371.49
1800,463.4
1800,227.74
1800,272.9
1800,669.89
1800,439.93
1800,273.33
1800,520.16
1800,954.58
1800,317.14
1800,278.36
1800,615.97
1800,411.73
1800,181.92
1800,666.66
1800,481.19
1800,461.57
1800,313.75
1800,196.87
1800,234.44
1800,524.92
1800,395.71
1800,378.46
1800,439.64
1800,948.74
1800,338.21
1800,545.03
1800,194.61
1800,46.52
1800,182.25
1800,126.56
1800,184.92
1800,180.51
1800,482.68
1800,294.06
1800,549.81
1800,218.99
1800,1078.25
1800,400.3
1800,277.43
1800,281.58
1800,265.67
1800,146.14
1806,379.57
1807,641.64
1808,349.49
1810,395.39
1810,197.99
1810,425.08
1810,409.89
1810,122.38
1810,974.49
1810,258.32
1812,204.81
1813,235.54
1814,258.8
1815,670.63
1815,151.27
1815,316.09
1816,303.95
1817,315.29
1818,495.24
1818,273.62
1818,173.9
1818,108.62
1820,360.76
1820,433.83
1820,244.54
1820,219.71
1820,936.68
1820,415.37
1820,1167.79
1820,218.87
1820,224.9
1820,340.99
1820,374.92
1820,321.81
1820,512.55
1820,297.36
1820,258.49
1820,327.23
1820,588.43
1820,202.29
1820,512.29
1820,248.3
1820,661
1820,480.24
1820,675.85
1820,325.59
1820,347.12
1820,727.85
1820,172.72
1820,376.52
1820,185.94
1820,503.56
1821,692.16
1823,611.01
1824,163.07
1824,94.01
1824,1102.33
1824,164.74
1825,390.51
1825,124.12
1825,496.84
1826,210.48
1826,319.21
1826,608.7
1827,546.21
1827,279.37
1828,204.51
1829,281.89
1829,679.01
1829,627.04
1829,471.04
1829,1115.26
1829,639.9
1829,278.8
1829,463.57
1829,392.79
1829,673.11
1829,435.89
1829,502.5
1829,441.51
1829,211.03
1829,416.28
1829,449.03
1829,296.39
1830,115.35
1830,646.93
1830,313.05
1830,1107.58
1830,589.94
1830,350.01
1830,215
1830,165.5
1830,319.72
1830,470.92
1830,428.8
1830,280.12
1830,217.79
1830,733.3
1830,296.34
1830,148.01
1830,390.12
1830,64.91
1830,186.08
1830,481.59
1830,1395.98
1830,460.81
1830,431.81
1830,1147.28
1830,42.11
1830,509.42
1830,274.42
1830,287.88
1830,288.37
1830,532.17
1830,117.33
1830,415.11
1830,367.44
1830,177.3
1830,873.21
1830,102.47
1830,508.13
1830,524.55
1830,486.22
1830,201.06
1830,483.7
1831,332.06
1832,620.2
1832,417.16
1833,270.46
1833,258.32
1833,378.31
1833,263.13
1834,225.73
1834,295.77
1834,231.02
1834,216.52
1834,318.52
1835,136.99
1835,316.76
1835,530.98
1835,179.08
1835,290.36
1835,514.18
1836,201.17
1836,98.2
1836,380.35
1837,282.12
1837,493.52
1837,368.28
1837,615.05
1837,308.35
1837,509.58
1837,580.73
1837,657.76
1837,577.68
1837,1636.6
1837,831.89
1837,878.22
1837,258.04
1837,243.23
1837,805.43
1837,412.26
1837,293.03
1837,340.59
1837,404.25
1837,348.51
1837,117.99
1837,436.8
1837,589.42
1837,366.05
1837,169.77
1837,555.82
1837,334.4
1838,224.11
1839,1391.36
1839,178.63
1840,414.26
1840,405.44
1840,502.33
1840,233.02
1840,491.77
1840,360.88
1840,143.29
1840,299.7
1840,195.98
1840,737.96
1840,261.38
1840,301.59
1840,224.1
1840,516.91
1840,256.57
1840,626.43
1840,198.75
1840,159.53
1840,343.54
1840,300.86
1840,522.66
1840,85.45
1840,608.28
1840,110.99
1840,365.14
1840,450.96
1840,239.21
1840,440.49
1840,1177.25
1840,272.63
1840,320.52
1840,357.92
1840,372.58
1840,361.42
1840,269
1840,119.57
1840,147.2
1840,396.53
1840,361.83
1840,602.86
1840,353.47
1840,258.42
1840,696.41
1840,146.04
1840,367.4
1840,163.64
1840,440.9
1840,495.51
1840,273.83
1840,317.76
1840,572.88
1840,249.7
1840,97.22
1840,506.64
1840,247.8
1840,307.77
1841,341.75
1841,666.2
1841,1041.59
1841,982.28
1841,362.83
1841,803.09
1842,337.67
1842,145.91
1842,479.63
1842,10.33
1842,191.65
1842,114.91
1842,484.94
1842,586.87
1842,275.76
1843,402.29
1843,514.01
1843,351
1844,500.56
1844,18.27
1845,212.85
1845,146.25
1845,303.32
1845,435.13
1845,594.23
1845,319.57
1845,284.9
1845,191.04
1845,207.51
1845,307.69
1845,157.74
1846,40.12
1847,507.78
1847,303.36
1847,232.34
1847,556.84
1847,582.67
1847,338.53
1847,165.46
1848,394.38
1848,324.46
1848,602.97
1848,823.11
1848,256.05
1849,583.47
1849,311.24
1849,253.3
1850,655.89
1850,289.79
1850,561.52
1850,551.36
1850,359.76
1850,528.4
1850,320.93
1850,559.39
1850,877.82
1850,362.45
1850,116.66
1850,222.41
1850,296.6
1850,202.36
1850,331.42
1850,218.31
1850,557.53
1850,590.13
1850,276.54
1850,427.57
1850,186.13
1850,786.35
1850,220.91
1850,395.95
1850,338.94
1850,777.85
1850,293.82
1850,367.02
1850,265.36
1850,673.26
1850,268.45
1850,787.79
1850,407.29
1850,932.76
1850,99.63
1850,428.22
1850,424.86
1850,432.57
1850,506.2
1850,814.01
1850,375.92
1850,422.06
1850,293.48
1850,227.56
1850,261.41
1850,635.86
1850,484.64
1850,420.01
1850,314.53
1850,877.76
1850,300.52
1850,1259.77
1850,146.33
1850,501.65
1850,758.57
1850,327.2
1850,964.59
1850,516.47
1850,560.51
1850,303.62
1850,1145.85
1850,735.76
1850,695.35
1850,292.74
1850,256.1
1850,187.78
1850,174.47
1850,795.58
1850,176.9
1850,97.32
1850,371.07
1850,285.04
1850,264.08
1850,403.76
1850,778.09
1850,366.68
1850,430.99
1850,318.2
1850,474.6
1850,640.36
1850,446.69
1850,200.84
1850,315.98
1850,326.52
1850,315.16
1850,314.14
1850,785.11
1850,913.64
1850,239.71
1850,377.11
1850,1111.24
1850,410.08
1850,155.49
1850,513.28
1850,253.91
1850,193.18
1850,468.27
1850,173.75
1850,434.12
1850,189.65
1850,309.33
1850,368.03
1850,1366.12
1850,848.72
1850,549.78
1850,714.59
1850,250.64
1850,702.14
1850,225.92
1850,513.18
1850,342.24
1850,139.89
1850,386.78
1850,349.35
1850,375.35
1850,551.53
1850,674.63
1850,601.29
1850,205.45
1850,436.63
1850,603.23
1850,324.18
1850,220.96
1850,490.74
1850,414.89
1850,639.68
1850,377.86
1850,169.98
1850,204.31
1850,105.35
1850,454.2
1850,453.22
1850,198.52
1850,257.13
1850,436.04
1850,440.31
1850,641.12
1850,368.34
1850,427.93
1850,149.89
1850,306.6
1850,186.08
1850,249.94
1850,209.7
1850,531.45
1850,114.88
1850,790.61
1850,387.07
1850,292.68
1850,362.55
1850,345.15
1850,255.4
1850,305.73
1850,686.5
1850,393.59
1850,240.96
1850,492.17
1850,350.76
1850,608.45
1850,712.05
1850,129.29
1850,333.07
1850,224.78
1850,834.61
1850,35.31
1850,511.65
1850,368.84
1850,285.18
1850,198.59
1850,445.84
1850,281.57
1850,124.13
1850,814.17
1850,311.91
1850,333.14
1850,193.35
1850,640.22
1850,280.47
1850,395.25
1850,187.25
1850,353.76
1850,182.78
1850,332.86
1850,467.75
1850,573.89
1850,390.2
1850,534.61
1850,214.8
1850,274.52
1850,671.35
