measure,building_type,grant,scheme
attic_insulation,detached,1500,BetterEnergyHomes
attic_insulation,semi_detached,1300,BetterEnergyHomes
attic_insulation,mid_terrace,1200,BetterEnergyHomes
attic_insulation,apartment,800,BetterEnergyHomes
cavity_wall_insulation,detached,1700,BetterEnergyHomes
cavity_wall_insulation,semi_detached,1200,BetterEnergyHomes
cavity_wall_insulation,mid_terrace,800,BetterEnergyHomes
cavity_wall_insulation,apartment,700,BetterEnergyHomes
internal_wall_insulation,detached,4500,BetterEnergyHomes
internal_wall_insulation,semi_detached,3500,BetterEnergyHomes
internal_wall_insulation,mid_terrace,2000,BetterEnergyHomes
internal_wall_insulation,apartment,1500,BetterEnergyHomes
external_wall_insulation,detached,8000,BetterEnergyHomes
external_wall_insulation,semi_detached,6000,BetterEnergyHomes
external_wall_insulation,mid_terrace,3500,BetterEnergyHomes
external_wall_insulation,apartment,3000,BetterEnergyHomes
heat_pump,detached,6500,BetterEnergyHomes
heat_pump,semi_detached,6500,BetterEnergyHomes
heat_pump,mid_terrace,6500,BetterEnergyHomes
heat_pump,apartment,4500,BetterEnergyHomes
heating_controls,detached,700,BetterEnergyHomes
heating_controls,semi_detached,700,BetterEnergyHomes
heating_controls,mid_terrace,700,BetterEnergyHomes
heating_controls,apartment,700,BetterEnergyHomes
home_energy_assessment,detached,250,BetterEnergyHomes
home_energy_assessment,semi_detached,250,BetterEnergyHomes
home_energy_assessment,mid_terrace,250,BetterEnergyHomes
home_energy_assessment,apartment,250,BetterEnergyHomes
attic_insulation,detached,1500,OSS
attic_insulation,semi_detached,1300,OSS
attic_insulation,mid_terrace,1200,OSS
attic_insulation,apartment,800,OSS
rafter_insulation,detached,3000,OSS
rafter_insulation,semi_detached,3000,OSS
rafter_insulation,mid_terrace,2000,OSS
rafter_insulation,apartment,1500,OSS
cavity_wall_insulation,detached,1700,OSS
cavity_wall_insulation,semi_detached,1200,OSS
cavity_wall_insulation,mid_terrace,800,OSS
cavity_wall_insulation,apartment,700,OSS
internal_wall_insulation,detached,4500,OSS
internal_wall_insulation,semi_detached,3500,OSS
internal_wall_insulation,mid_terrace,2000,OSS
internal_wall_insulation,apartment,1500,OSS
external_wall_insulation,detached,8000,OSS
external_wall_insulation,semi_detached,6000,OSS
external_wall_insulation,mid_terrace,3500,OSS
external_wall_insulation,apartment,3000,OSS
windows,detached,4000,OSS
windows,semi_detached,3000,OSS
windows,mid_terrace,1800,OSS
windows,apartment,1500,OSS
external_doors,detached,1600,OSS
external_doors,semi_detached,1200,OSS
external_doors,mid_terrace,1800,OSS
external_doors,apartment,800,OSS
floor_insulation,detached,3500,OSS
floor_insulation,semi_detached,3500,OSS
floor_insulation,mid_terrace,3500,OSS
floor_insulation,apartment,3500,OSS
mechanical_ventilation,detached,1500,OSS
mechanical_ventilation,semi_detached,1500,OSS
mechanical_ventilation,mid_terrace,1500,OSS
mechanical_ventilation,apartment,1500,OSS
airtightness,detached,1000,OSS
airtightness,semi_detached,1000,OSS
airtightness,mid_terrace,1000,OSS
airtightness,apartment,1000,OSS
heat_pump,detached,6500,OSS
heat_pump,semi_detached,6500,OSS
heat_pump,mid_terrace,6500,OSS
heat_pump,apartment,4500,OSS
heat_pump_central_heating,detached,2000,OSS
heat_pump_central_heating,semi_detached,2000,OSS
heat_pump_central_heating,mid_terrace,2000,OSS
heat_pump_central_heating,apartment,1000,OSS
heating_controls,detached,700,OSS
heating_controls,semi_detached,700,OSS
heating_controls,mid_terrace,700,OSS
heating_controls,apartment,700,OSS
home_energy_assessment,detached,350,OSS
home_energy_assessment,semi_detached,350,OSS
home_energy_assessment,mid_terrace,350,OSS
home_energy_assessment,apartment,350,OSS
project_management,detached,2000,OSS
project_management,semi_detached,1600,OSS
project_management,mid_terrace,1200,OSS
project_management,apartment,800,OSS
heat_pump_bonus,detached,2000,OSS
heat_pump_bonus,semi_detached,2000,OSS
heat_pump_bonus,mid_terrace,2000,OSS
heat_pump_bonus,apartment,2000,OSS
