building_type,scheme,measure,grant
apartment,BetterEnergyHomes,heat_pump,4500
apartment,BetterEnergyHomes,heating_controls,700
apartment,BetterEnergyHomes,home_energy_assessment,250
apartment,BetterEnergyHomes,roof,800
apartment,BetterEnergyHomes,wall,1733.3333333333333
apartment,OSS,airtightness,1000
apartment,OSS,external_doors,800
apartment,OSS,floor_insulation,3500
apartment,OSS,heat_pump,4500
apartment,OSS,heat_pump_bonus,2000
apartment,OSS,heat_pump_central_heating,1000
apartment,OSS,heating_controls,700
apartment,OSS,home_energy_assessment,350
apartment,OSS,mechanical_ventilation,1500
apartment,OSS,project_management,800
apartment,OSS,roof,1150
apartment,OSS,wall,1733.3333333333333
apartment,OSS,windows,1500
detached,BetterEnergyHomes,heat_pump,6500
detached,BetterEnergyHomes,heating_controls,700
detached,BetterEnergyHomes,home_energy_assessment,250
detached,BetterEnergyHomes,roof,1500
detached,BetterEnergyHomes,wall,4733.333333333333
detached,OSS,airtightness,1000
detached,OSS,external_doors,1600
detached,OSS,floor_insulation,3500
detached,OSS,heat_pump,6500
detached,OSS,heat_pump_bonus,2000
detached,OSS,heat_pump_central_heating,2000
detached,OSS,heating_controls,700
detached,OSS,home_energy_assessment,350
detached,OSS,mechanical_ventilation,1500
detached,OSS,project_management,2000
detached,OSS,roof,2250
detached,OSS,wall,4733.333333333333
detached,OSS,windows,4000
mid_terrace,BetterEnergyHomes,heat_pump,6500
mid_terrace,BetterEnergyHomes,heating_controls,700
mid_terrace,BetterEnergyHomes,home_energy_assessment,250
mid_terrace,BetterEnergyHomes,roof,1200
mid_terrace,BetterEnergyHomes,wall,2100
mid_terrace,OSS,airtightness,1000
mid_terrace,OSS,external_doors,1800
mid_terrace,OSS,floor_insulation,3500
mid_terrace,OSS,heat_pump,6500
mid_terrace,OSS,heat_pump_bonus,2000
mid_terrace,OSS,heat_pump_central_heating,2000
mid_terrace,OSS,heating_controls,700
mid_terrace,OSS,home_energy_assessment,350
mid_terrace,OSS,mechanical_ventilation,1500
mid_terrace,OSS,project_management,1200
mid_terrace,OSS,roof,1600
mid_terrace,OSS,wall,2100
mid_terrace,OSS,windows,1800
semi_detached,BetterEnergyHomes,heat_pump,6500
semi_detached,BetterEnergyHomes,heating_controls,700
semi_detached,BetterEnergyHomes,home_energy_assessment,250
semi_detached,BetterEnergyHomes,roof,1300
semi_detached,BetterEnergyHomes,wall,3566.6666666666665
semi_detached,OSS,airtightness,1000
semi_detached,OSS,external_doors,1200
semi_detached,OSS,floor_insulation,3500
semi_detached,OSS,heat_pump,6500
semi_detached,OSS,heat_pump_bonus,2000
semi_detached,OSS,heat_pump_central_heating,2000
semi_detached,OSS,heating_controls,700
semi_detached,OSS,home_energy_assessment,350
semi_detached,OSS,mechanical_ventilation,1500
semi_detached,OSS,project_management,1600
semi_detached,OSS,roof,2150
semi_detached,OSS,wall,3566.6666666666665
semi_detached,OSS,windows,3000
