CensusYear,Tenure.Status,Number.of.Rooms,Number of Persons per Private Household in Permanent Housing Units,Number of Private Households in Permanent Housing Units
2006,All types of household tenure,All households,4106753,1462296
2006,Owned outright,All households,1237432,498432
2006,Own with a mortgage or a loan,All households,1896183,593513
2006,Rented from local authority,All households,306729,105509
2006,Rent from a landlord (including voluntary/co-operative body),All households,500023,195797
2006,Rent-free,All households,43070,21701
2006,Not Stated,All households,123316,47344
2011,All types of household tenure,All households,4500569,1649408
2011,Owned outright,All households,1346590,566776
2011,Own with a mortgage or a loan,All households,1888826,583148
2011,Rented from local authority,All households,354992,129033
2011,Rent from a landlord (including voluntary/co-operative body),All households,804715,320319
2011,Rent-free,All households,47883,25436
2011,Not Stated,All households,57563,24696
2016,All types of household tenure,All households,4666376,1697665
2016,Owned outright,All households,1419235,611877
2016,Own with a mortgage or a loan,All households,1800187,535675
2016,Rented from local authority,All households,393198,143178
2016,Rent from a landlord (including voluntary/co-operative body),All households,870747,326493
2016,Rent-free,All households,54116,27440
2016,Not Stated,All households,128893,53002
