ber_old_score,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2,F,G
A1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1,150,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA,NA
C2,175,150,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA,NA
C3,200,175,150,125,100,75,50,25,10,NA,NA,NA,NA,NA,NA
D1,230,205,180,155,130,105,80,55,30,13,NA,NA,NA,NA,NA
D2,268,242,218,192,168,142,118,92,68,38,15,NA,NA,NA,NA
E1,308,282,258,232,208,182,158,132,108,78,40,15,NA,NA,NA
E2,348,322,298,272,248,222,198,172,148,118,80,40,15,NA,NA
F,402,378,352,328,302,278,252,228,202,172,135,95,55,25,NA
G,462,438,412,388,362,338,312,288,262,232,195,155,115,60,18
