lifetime,beta,q
5,1,0.7999736544570151
6,1,0.8333282470714983
7,1,0.8571625039925477
8,1,0.8750077535195313
9,1,0.8888701352451122
10,1,0.9000173448083679
11,1,0.9091028195346539
12,1,0.9166641235359017
13,1,0.9230530541489491
14,1,0.9285812519942577
15,1,0.9333341148618107
16,1,0.9375038762597656
17,1,0.9411776015342057
18,1,0.9444655852066972
19,1,0.9473624918161533
20,1,0.9500086724059191
21,1,0.9523886263344489
22,1,0.9545514097666284
23,1,0.9565205130284059
24,1,0.9583320617681034
25,1,0.9600289956122787
26,1,0.9615570446482207
27,1,0.962973408025805
28,1,0.9642906259951127
29,1,0.9655190035767812
30,1,0.9666670574305439
31,1,0.9677122925016125
32,1,0.9687519376298828
33,1,0.9697266948100639
34,1,0.9705888007677166
35,1,0.9714316740438718
36,1,0.9722327926093645
37,1,0.9730006669163175
38,1,0.9736812459063195
39,1,0.9743506488666303
40,1,0.9750043362046947
41,1,0.9756139126273436
42,1,0.9761943131665684
43,1,0.9767476166697433
44,1,0.9772757048826157
45,1,0.9777998366851557
5,1.5,0.9140067428011265
6,1.5,0.9356637445281006
7,1.5,0.9495384136779089
8,1.5,0.9591048613389468
9,1.5,0.9659758329821022
10,1.5,0.9711292019306335
11,1.5,0.9750992302199977
12,1.5,0.9782299227054049
13,1.5,0.9807812828736278
14,1.5,0.9828559900154124
15,1.5,0.9845830275548129
16,1.5,0.9860436604207312
17,1.5,0.9873080383347292
18,1.5,0.9883455197758422
19,1.5,0.9892708774439087
20,1.5,0.9900908812478021
21,1.5,0.9908022903554456
22,1.5,0.9914569750490981
23,1.5,0.9919925180494612
24,1.5,0.9924897674415899
25,1.5,0.9929524415351096
26,1.5,0.993365038746769
27,1.5,0.9937491316500983
28,1.5,0.994046924698282
29,1.5,0.9943601764258942
30,1.5,0.9946438175714618
31,1.5,0.9949223734175267
32,1.5,0.9951610916611272
33,1.5,0.9953902788131803
34,1.5,0.995555521470938
35,1.5,0.9957624988579697
36,1.5,0.9959499957448974
37,1.5,0.9960939913287354
38,1.5,0.996265698093588
39,1.5,0.9963933947078234
40,1.5,0.9965616096958522
41,1.5,0.9966795850407811
42,1.5,0.9968019223862051
43,1.5,0.9969205585214185
44,1.5,0.9970334799410127
45,1.5,0.9971352441954235
5,2,0.96196058117041106
6,2,0.9743911341960614
7,2,0.9815833525998964
8,2,0.9861353734977842
9,2,0.9891841716661744
10,2,0.9913596994374995
11,2,0.9929181975737499
12,2,0.9941055051744375
13,2,0.9949868510999853
14,2,0.9956837386198677
15,2,0.9962666735599602
16,2,0.996737886944895
17,2,0.9971335917828081
18,2,0.9974568106165169
19,2,0.9976882906176986
20,2,0.9979337681350597
21,2,0.99813066859036
22,2,0.9982768896918043
23,2,0.9984525693765525
24,2,0.9985861442263122
25,2,0.9986688306634011
26,2,0.9987776476612625
27,2,0.9988748541921287
28,2,0.9989227439383188
29,2,0.999024413186798
30,2,0.9990942825144248
31,2,0.9991421945063034
32,2,0.9992376642020101
33,2,0.9992599068004625
34,2,0.9993041318423452
35,2,0.9993399754469284
36,2,0.9993814578664927
37,2,0.9994229358417862
38,2,0.9994033742166776
39,2,0.9994448433037868
40,2,0.9995123977505818
41,2,0.9995124151739618
42,2,0.9995124325973421
43,2,0.9995124500207224
44,2,0.9995762211416085
45,2,0.9995878952767214
5,2.5,0.9828975686398562
6,2.5,0.9896037197034862
7,2.5,0.9931340796376409
8,2.5,0.9952077672333021
9,2.5,0.9964633012400762
10,2.5,0.9973545559232804
11,2.5,0.9979233752555805
12,2.5,0.9983776565046775
13,2.5,0.9986357794754324
14,2.5,0.9988874366851344
15,2.5,0.9991074196680562
16,2.5,0.9991870826637166
17,2.5,0.999332813630897
18,2.5,0.9994397234698525
19,2.5,0.9995142068141345
20,2.5,0.9995921361234692
21,2.5,0.9995950941091981
22,2.5,0.9996248469292033
23,2.5,0.9996652872062999
24,2.5,0.9996964133863033
25,2.5,0.9997575176696512
26,2.5,0.9997575867967483
27,2.5,0.9997576559238457
28,2.5,0.9997577250509431
29,2.5,0.9997577941780402
30,2.5,0.9998789311525689
31,2.5,0.9998789657161176
32,2.5,0.9998790002796663
33,2.5,0.9998790348432147
34,2.5,0.9998790694067634
35,2.5,0.9998791039703121
36,2.5,0.9998791385338608
37,2.5,0.9998791730974095
38,2.5,0.9998792076609582
39,2.5,0.9998792422245066
40,2.5,0.9998792767880553
41,2.5,0.999879311351604
42,2.5,0.9998793459151527
43,2.5,0.9998793804787014
44,2.5,0.9998794150422501
45,2.5,0.9998794496057986
5,3,0.992222521585634
6,3,0.9957172358190283
7,3,0.9974350294899326
8,3,0.9982944359921287
9,3,0.9988320246659359
10,3,0.9991581320510619
11,3,0.9993969487574242
12,3,0.9995177364025165
13,3,0.9996118176315238
14,3,0.9996898029541879
15,3,0.9997596883600257
16,3,0.9997599619129482
17,3,0.9998801172329352
18,3,0.9998802540093965
19,3,0.9998803907858578
20,3,0.999880527562319
21,3,0.9998806643387803
22,3,0.9998808011152416
23,3,0.9998809378917026
24,3,0.9998810746681639
25,3,0.9998812114446252
26,3,0.9998813482210864
27,3,0.9998814849975477
28,3,0.999881621774009
29,3,0.99988175855047
30,3,0.9998818953269313
31,3,0.9998820321033925
32,3,0.9998821688798538
33,3,0.9998823056563151
34,3,0.9998824424327764
35,3,0.9998825792092374
36,3,0.9998827159856987
37,3,0.9998828527621599
38,3,0.9998829895386212
39,3,0.9998831263150825
40,3,0.9998832630915437
41,3,0.9998833998680048
42,3,0.999883536644466
43,3,0.9998836734209273
44,3,0.9998838101973886
45,3,0.9998839469738499
5,3.5,0.9964220378047177
6,3.5,0.9982250137776634
7,3.5,0.9990409339159443
8,3.5,0.9994183349253203
9,3.5,0.999603085865704
10,3.5,0.9997624197841513
11,3.5,0.9997631488025396
12,3.5,0.999881938410464
13,3.5,0.9998823029196582
14,3.5,0.9998826674288523
15,3.5,0.9998830319380465
16,3.5,0.9998833964472407
17,3.5,0.999883760956435
18,3.5,0.9998841254656292
19,3.5,0.9998844899748234
20,3.5,0.9998848544840175
21,3.5,0.9998852189932117
22,3.5,0.9998855835024059
23,3.5,0.9998859480116
24,3.5,0.9998863125207944
25,3.5,0.9998866770299886
26,3.5,0.9998870415391827
27,3.5,0.9998874060483769
28,3.5,0.999887770557571
29,3.5,0.9998881350667652
30,3.5,0.9998884995759594
31,3.5,0.9998888640851535
32,3.5,0.9998892285943479
33,3.5,0.9998895931035421
34,3.5,0.9998899576127362
35,3.5,0.9998903221219304
36,3.5,0.9998906866311246
37,3.5,0.9998910511403187
38,3.5,0.9998914156495129
39,3.5,0.9998917801587073
40,3.5,0.9998921446679014
41,3.5,0.9998925091770956
42,3.5,0.9998928736862898
43,3.5,0.9998932381954839
44,3.5,0.9998936027046781
45,3.5,0.9998939672138722
5,4,0.9983371657122665
6,4,0.9992323334002826
7,4,0.9996110136054118
8,4,0.999766494312772
9,4,0.9998840063488792
10,4,0.9998847660413726
11,4,0.9998855257338659
12,4,0.9998862854263593
13,4,0.9998870451188526
14,4,0.999887804811346
15,4,0.9998885645038391
16,4,0.9998893241963325
17,4,0.9998900838888258
18,4,0.9998908435813192
19,4,0.9998916032738125
20,4,0.9998923629663059
21,4,0.999893122658799
22,4,0.9998938823512924
23,4,0.9998946420437858
24,4,0.9998954017362791
25,4,0.9998961614287725
26,4,0.9998969211212658
27,4,0.999897680813759
28,4,0.9998984405062523
29,4,0.9998992001987457
30,4,0.999899959891239
31,4,0.9999007195837324
32,4,0.9999014792762257
33,4,0.9999022389687189
34,4,0.9999029986612122
35,4,0.9999037583537056
36,4,0.999904518046199
37,4,0.9999052777386923
38,4,0.9999060374311857
39,4,0.9999067971236788
40,4,0.9999075568161722
41,4,0.9999083165086655
42,4,0.9999090762011589
43,4,0.9999098358936522
44,4,0.9999105955861456
45,4,0.9999113552786387
