nu.,p.,beta.,r.,eta.,tau.,y
0.7108437700103969,0.011497424652031624,0.4793239967734553,0.01140476476890035,0.03647738667670638,0.04765140870818868,1.1703676550862023
0.6672320896102075,0.011585253812509213,0.4739421862400593,0.05185231575719092,0.04447444150590194,0.048708537546443845,1.3410305901224029
0.4768247976270505,0.010733106358838269,0.6117646740726196,0.04228073877189308,0.04687880351673812,0.02422588913177606,1.4187492264072856
0.5886581095703878,0.005666376587934792,0.5528717758483254,0.14958872660831546,0.025636186090414417,0.02007357286580373,1.576768524459434
0.49215245888715153,0.011692645532167605,0.6483211172154221,0.08954100739262795,0.04927759169880074,0.04892014921699035,1.6663597062037394
0.6308206612267533,0.005350084409769625,0.7630931206978857,0.05058394614327699,7.118061854271218e-4,0.03771509594575037,1.6949554406887581
0.5729683794771315,0.01318459031890659,0.6964347415126628,0.05402725156878453,0.040115049267483896,0.04729917836623733,1.799556627385977
0.6765216512293529,0.005646016774059642,0.5353039765033483,0.0105446192066906,0.023939231585541825,0.01879921868280653,1.8913610978734554
0.3768267688783993,0.011347206571637536,0.7336713797692587,0.04129053146700425,0.0499671800168237,0.03935596842019081,1.907505056159294
0.43597173613085843,0.011942397831151553,0.6613502031125734,0.012372360266139207,0.02041044579900021,0.04999964769807623,2.117454976635698
0.43737366372969855,0.010967470527964762,0.5299487214435004,0.02214616522815989,0.030607275485091505,0.04999895106851163,2.1256812305175936
0.5352770623340315,0.005572046639050252,0.7105667495484347,0.05551843577749095,0.0457764718088741,0.02224153716721776,2.231427568652149
0.6089194348810036,0.006445505047555838,0.4705491842103218,0.06934907989526316,0.010610412293408648,0.042700910516516616,2.31991047863677
0.5212711877397093,0.00490473494854841,0.5985177518039505,0.05419894598093821,0.002499078393010152,0.02418438010358687,2.3860655454436275
0.3784766156473437,0.006689562873682793,0.751612001306654,0.04460013587481449,2.886403348917318e-5,0.04973604891011789,2.3968441659141027
0.7981437272926026,0.010918223004692758,0.6076978725141878,0.017831424528185327,0.04058496687429702,0.03674391913848033,2.4212838767354015
0.2008505490579325,0.003746601417935396,0.9994058443359919,0.019017783129793648,0.049921724270104724,0.00782959998663818,2.443906855159746
0.5253699787555122,0.008345556267501263,0.6723400260382127,0.07789390789912574,0.036554856178445595,0.04565009028975822,2.452861637124627
0.5809534782705537,0.008749678198459064,0.41316256130268164,0.03852526021839158,0.03738959847043816,0.049935610967716516,2.5085628220177587
0.7775667676981539,0.013643608628306539,0.7307208904856817,0.09398805222590452,0.04178807236079593,0.03309762791148387,2.8151320288364508
0.2890459173545242,0.007585648046503776,0.9779498904384673,0.09873136060731484,0.04251998843392357,0.011019677295698785,2.9447557648633973
0.6752864303672688,0.009524157287343406,0.641979376298841,0.06614908181061036,0.0315745044790674,0.012717560380115173,3.062470033447787
0.4054309893562459,0.004073984552291222,0.45348972733831033,0.13342987397848627,0.016675084184389562,0.007454322577686981,3.1080494926934987
0.3134014735603705,0.0029840796998934823,0.5281332277995534,0.03154897516430356,0.04842459344887175,0.026809710146044382,3.3981303012931843
0.7822195460417765,0.005399495653466195,0.7145168877015143,0.10242008552669167,0.030108469668397083,0.04230225066990581,3.95199906440416
0.22921225210884588,0.00873323153143283,0.8552657626452855,0.06199453663569875,0.03823481170169544,0.01702707887568977,4.036267999569377
0.2554791870518714,0.006187048579241379,0.6228776377424743,0.09231076400930169,0.03250745550370047,0.021752097300796094,4.08697995452602
0.23879802408162507,0.0024059839316643776,0.8978269310458563,0.020285357716027644,0.006391211067675613,0.044532152977772056,4.14126279989442
0.7669517757219875,0.002017810856503468,0.5466680875336751,0.1498788749102018,0.012476758446637301,0.01580995850929075,4.251302655987496
0.5382567779420575,0.0033088039865912184,0.5089150815950902,0.14999757851327344,0.048805080094659066,0.02656003004578553,5.211800426495442
0.5949589642359974,0.009554335992373148,0.47761391254131963,0.12513748835605645,0.049943785427274706,0.034633109414299125,5.358362384394447
0.5101777239702643,0.012534892478911206,0.8181655666441656,0.10921438715024849,0.007864922320004552,0.04247004096745514,5.714614691783838
0.41321282142074783,0.017653713172092106,0.6713046166230925,0.086354530866025,0.034530032312613916,0.03088858249015175,5.7817933881362125
0.3742177310283296,0.007295103019010277,0.7126222190679983,0.12856018120911902,0.013332639117725193,9.338494273833931e-5,6.289879669836163
0.5318517973343841,0.015101672736555341,0.5884730401914566,0.10120380747271701,0.02020715951162856,0.019470798362162894,8.710115740116148
0.4457580902124756,0.016781034559640105,0.8253169214446098,0.07773863890580832,0.017729308576672338,0.03590298157359939,9.319581472249926
0.6107960239821115,0.015571124559105375,0.4174317213986069,0.024199282931629568,0.024457891512429344,0.0034525488375220445,11.835418590286848
0.7435545042902232,0.019211747428518722,0.919730152064003,0.11814475891226901,0.010389550541876817,0.046246370188309814,14.518176462807402
0.3406527861836367,0.018237887391727416,0.5194748634146527,0.05418658509058878,0.028196405245107598,0.009628498899983243,14.548519148473597
0.6818504815921188,0.014433325765328483,0.9432378109963611,0.13756982404878362,0.0043468039145227524,0.02966907601570711,20.63867353859495
