nu.,p.,beta.,r.,eta.,tau.,y
0.730509821985522,0.002430879331775175,0.7263477686291039,0.0792939431276076,2.8376768835884305e-4,0.010035111684216468,1.405465559554053
0.6757017907827115,0.00436807276715006,0.5996117148211507,0.03760598586277744,0.041685094696646566,0.008061576083280094,1.7696870337526271
0.3709372735163198,0.008754901207936929,0.49397480591200293,0.011419360417872667,0.04445353267015889,0.012014097118517385,2.0008654692601606
0.7336857201267564,0.0020229845018278018,0.7170174770367302,0.017414320004346028,0.003544405564557467,0.012612465047128587,2.0233000939070616
0.7790242792945357,0.016814965492254124,0.6873940630350261,0.045003562049785006,0.04558339324741004,0.03131765987840481,2.0356405722731417
0.721722987308167,0.002867746430588886,0.9449183188471943,0.1066315528489649,4.961905411134163e-4,0.011042015224617596,2.1821029341386216
0.6388770344620571,0.010773357625724749,0.7208626658981666,0.04859817989977697,0.0300611268368084,0.03220007143759479,2.5106869049466027
0.7143321482656396,0.014006313807842338,0.5276706323150022,0.010027329722530245,0.04995281654217331,0.04685051566168709,2.6106361773189475
0.7903439189959318,0.007369123492063955,0.6780067958589644,0.09142330106316754,0.04825733559012103,0.018438367966252072,2.686054649716616
0.7069871922141906,0.007624976822682407,0.6966727970917884,0.02272781100833758,0.04997593122357905,0.04051151861529247,2.764636227140784
0.6878148947598917,0.0020223225699300155,0.8681500923778902,0.13184576055948652,3.86883572907629e-5,0.010083673100829894,3.112223593947505
0.7432978200841592,0.011393458329776904,0.4919333876648851,0.03657636983920105,0.04800271399444989,0.030100781201741485,3.1337450867734464
0.7262617929250696,0.005326105161307458,0.8203159080023645,0.11091575365491604,0.04220389768238723,0.010669648513980126,3.164325376970572
0.6137291302553188,0.007153093849509403,0.4686311183531656,0.010058399729947114,0.013031503526342568,0.03223738675374771,3.219520512308258
0.7788381273937144,0.009466610679863574,0.6344281242310871,0.017689600050501963,4.481464242545389e-4,0.04783758859692548,3.275888750668912
0.5714056938215502,0.0023082875690795994,0.6902934486742771,0.03682486096927409,0.03921578648314903,0.010744060478745938,3.500353816627472
0.4555127715735427,0.009701204628458422,0.828415281188726,0.13275767059873442,0.049698020072347374,0.024818510011657784,3.759160496165168
0.7455347036151216,0.012148256580112503,0.42325641504488887,0.0227936059354494,0.014088547843275593,0.03404042793942305,3.7663295819559988
0.7999140967002616,0.0021088611892194245,0.46749588854811713,0.023526906729690922,0.023164084668373892,0.014207297111226013,3.872355358645525
0.4974911491991953,0.011026195673365146,0.7620974571676925,0.06250955138557279,0.029141406106064097,0.04105373785287763,3.9227104675443183
0.7875517707490074,0.01485887018235243,0.6353909584625247,0.0533003126996356,0.04757519904481196,0.047998931376836404,3.982138394731109
0.39936659828294074,0.0039862982437945905,0.5496652443893254,0.040209837768226855,0.004001034539736186,0.020143731710656237,3.984366256174955
0.5728066212264822,0.004864422458875925,0.7580431488342583,0.13830551836484423,0.03393460168774861,0.017494277633183324,4.21570737848136
0.4576154729956761,0.0033898905034177008,0.8683047640649602,0.08719789868888134,0.020225135381721583,0.023458971443663663,4.561154527820541
0.7947170228866308,0.005964438611515858,0.7746039670011183,0.06537110972465539,2.051482499489881e-4,0.01799362305768882,4.719736019463282
0.5400882593929867,0.0020007745661746556,0.8454611833209352,0.07077303895704383,0.04989215460708677,0.012584296955145692,4.770394504265793
0.2587776932306588,0.005739141093008221,0.8142329767998309,0.11724884570296852,0.01037685952265747,0.026906211364160604,4.832543631733199
0.683927875138131,0.00202874801627106,0.6014254315773548,0.09990324474743945,0.005933420795825833,0.017784223210657042,4.951926784249111
0.20258971713411478,0.015932950621132858,0.5974877588337782,0.022692015780138533,0.04855731734103625,0.031830912107154,5.059031775175113
0.221511734710075,0.008171019810019062,0.8945553616620601,0.030536663814292597,0.041888052821159365,0.041860688116091,5.091001145201378
0.30907858342946143,0.0031673238079182784,0.9358645529963314,0.12391922647656807,4.351841458790571e-5,0.016901376483337664,5.147625435812014
0.5373186559602618,0.01618112900280394,0.8499599355692045,0.1224612818045231,0.0490238313167356,0.039370395155080284,5.2346211211404965
0.30757621802389623,0.015381593629205602,0.7120661698142067,0.07664109607537586,0.0412393891318546,0.02950435420459447,5.2554427798271295
0.4615284354687584,0.002214036369145617,0.4003978222270681,0.06522652669422775,0.01241301983483894,0.0068222245700721145,5.266029467255548
0.23127351601520219,0.013253722247491584,0.461458304596621,0.010124284361328742,0.02999743080454261,0.04272449620434992,5.441822615137752
0.20108477656740392,0.004775223781974058,0.8053829763721935,0.03389429130324589,0.0013974926545338214,0.04364894897612527,5.533051397525766
0.695248470157385,0.014408005370805041,0.5964587146183477,0.14989313413854688,0.02664173962199129,0.04802064980613068,5.600822202336319
0.791915226105587,0.002180460896318395,0.898860228206018,0.12054612510545519,4.073632893680415e-5,0.04001645023143562,5.735363381474761
0.5489392728777603,0.002357114082295448,0.9650512747652829,0.11921304712646329,0.03781699738310029,0.02539377277445359,5.942666606152379
0.4667031382163987,0.010145837051467972,0.9296183107793331,0.12807116441816713,0.022482982700457798,0.02198210509377532,6.128430794586999
0.295933709894307,0.006466282893158495,0.6174556512245909,0.07481479689603049,0.019276866546133534,0.04540128294650155,6.250202858800953
0.2710795474098996,0.007876148042501883,0.4762394842272625,0.09696652876399456,0.003131300250533968,0.04480258132796735,6.282976351293554
