Epoch,Iteration,nu,p,r,beta,eta,tau,lambda,error
0,2,0.19559093060903252,0.01107378796436824,0.016772548782173546,0.5160110060242005,0.0035137551906518644,0.09848871064605191,0.09291805911809206,2.8081223744003383
0,10,0.6810680212965234,0.01048369315704331,0.0787383565567434,0.962377521772869,0.056151026883162564,0.04817691690055653,-0.05266207470558584,3.5607175429487317
0,7,0.35624701465480035,0.018086827965406706,0.02162807478872128,0.7813653540168888,0.04960685786791146,0.05422060523647815,-0.017470048423856493,3.736958291354245
2,12,0.7,0.002,0.01,0.6346514331771254,0,0,-0.009284136387515851,3.87609085406147
8,18,0.7,0.002,0.01,0.7136227716671406,0.02402019445636193,0.054201690388583745,0.1,3.9934423475195455
10,20,0.7,0.008398880510500074,0.1,0.3,0,0,0.09708369005128312,4.449354824203636
0,9,0.4347519694082439,0.00764511404382065,0.031160151793155823,0.6853981391713023,0.07788284749491141,0.060662648871075364,0.03786352977622301,4.807268350616611
0,3,0.15297564945183695,0.019377601361740382,0.050520143597153955,0.6120500540803187,0.09979937003226952,0.02334142851410434,-0.03951349406968803,7.013953537322113
0,1,0.6235035024955868,0.015400257591484117,0.09450566079677084,0.3498748908448033,0.011503603053279222,0.07420424865791574,0.07320135713554918,7.267292143765493
5,15,0.1,0.010939550699825175,0.1,0.46558744141557723,0,0.06757114142078173,-0.010246349728151971,7.5132013048982405
0,5,0.3009871337004006,0.004209331100527198,0.06425163110136055,0.40570268120849506,0.020028970842249694,0.018359142849221827,-0.08728238186333329,7.714227818734871
0,8,0.5266424822993576,0.007147381271980704,0.06198344502015971,0.440953814338427,0.08792683441191912,0.03495905740419403,-0.0748148937523365,7.87269614212046
6,16,0.1,0.003204762996669235,0.01,0.8413922038670589,0.07441244763045139,0,-0.04660280067289129,8.218921960069551
0,4,0.5041127554047853,0.0024043383721262216,0.09087098706653342,0.7960396882658825,0.061796501427888874,0.08774707951350139,0.010800891853868969,9.054121764306801
9,19,0.7,0.01516915094553031,0.1,0.3,0.1,0.1,-0.02342925324251735,9.99843294992072
3,13,0.1,0.002,0.01,0.3,0.03012136346695046,0.1,0.01379966624754883,10.70383154365015
0,6,0.24282965266611428,0.013587392790429295,0.04378893909929321,0.8895369629398919,0.03468026456423104,0.0038785834098234774,0.04510736306197943,33.24830167266352
4,14,0.7,0.020000000000000004,0.1,0.7282270554821194,0,0,-0.1,110.80180478129272
1,11,0.1,0.020000000000000004,0.01,1,0.1,0.07806672565190526,0.1,189.1718731608392
7,17,0.1,0.020000000000000004,0.01,0.4602737497276276,0,0,0.043638484358819785,206.82842919255228
