Epoch,Iteration,nu,p,r,beta,eta,tau,error
5,45,1,0.002,0.01,1,0,0.02416829693950524,1.337865099558797
38,78,1,0.005890343412314734,0.01,0.4748451273612413,0.0325739474433611,0,1.4375101402599773
17,57,1,0.01008770413786745,0.01,0.3,0.05,0,1.472733452474974
31,71,1,0.004788146198008981,0.1,1,0.02635741931413967,0,1.6286902613605985
34,74,1,0.011252483935721556,0.1,0.5006658818566815,0.05,0,1.8222507701184738
30,70,1,0.004201215906097384,0.1,0.6941594775008596,0.05,0,1.874918844654943
37,77,1,0.013962499515529813,0.01,0.3,0.05,0,1.8765399664155047
24,64,1,0.011920023488061444,0.01,0.4924362762508042,0.05,0.025154405898712314,2.0068034637358494
39,79,1,0.004177568752836975,0.043735457384420605,0.7471688896873128,0.03384213324637084,0.018690481579584327,2.0092005569584344
27,67,1,0.015212094212769728,0.01,0.6506142094426541,0.05,0.05,2.1228544960145834
0,34,0.946030085470993,0.009562188860063908,0.018041567130188924,0.5618030810373602,0.026279791954439136,0.01998995864239987,2.217996561225838
26,66,1,0.013365053704598891,0.06414946761892944,1,0.05,0.05,2.3933691033185305
0,25,0.6956977179454407,0.0027661286893533544,0.04710558904247592,0.9353816408233251,0.04146224360476481,0.005092850638611708,2.5312883877695436
36,76,1,0.009290649936670982,0.1,1,0.05,0.027601800264986733,2.5648254633771423
40,80,1,0.020000000000000004,0.01,0.45001907723654755,0.05,0.05,2.7103136198497237
20,60,1,0.007126885571545449,0.0807532263542523,1,0.05,0,2.7712241402585573
0,30,0.7293296498496784,0.0023696039968286644,0.010162222786108031,0.514409074303694,0.031353631957026666,0.0065158570630592305,2.957584761593508
0,8,0.9983656020608032,0.004676646345364861,0.09440679425292182,0.8824968496372456,0.018191054674971383,0.038786014619690834,2.957835122195233
0,13,0.7444610113993986,0.00631745089921169,0.022515388540748978,0.816849807361723,0.019729897386278027,0.010776801251631697,2.96118189602706
0,32,0.9733500531193567,0.00996442147389753,0.0747167281107395,0.7338539992249571,0.03334039973386098,0.04392679280485027,3.122567648863632
10,50,1,0.002,0.01,1,0,0.05,3.3024358719897045
25,65,1,0.004858065435908951,0.01,1,0.05,0.01540081988960692,3.4728684953046844
0,33,0.6793669175246032,0.01192772404527059,0.09947422629152426,0.7722601999808103,0.04271233531093458,0.024932652119023263,3.526651832441879
0,37,0.7582007823477034,0.010325651971146,0.06272753731894773,0.6181247482029721,0.015126628365251235,0.030437481916160327,3.543116805124235
0,27,0.6210951656097313,0.005515008575038519,0.09602390209550504,0.9998897095804569,0.037860213110107004,0.03357631710299757,3.6138748907266214
29,69,1,0.009794013056211987,0.1,0.3,0.025019849014729034,0,3.626792925575703
1,41,1,0.01664593950629569,0.1,0.792803786699676,0.05,0.05,3.7073066161618726
0,31,0.7848536471521947,0.006546916267916095,0.058800007597485104,0.5700022085261298,0.04531874784966931,0.03232230675581377,3.7260497723793646
19,59,1,0.004227156990238344,0.01,0.3,0.05,0.011256097407449032,3.7651838644983577
0,38,0.8146983582759276,0.015439746588154233,0.044792012652673296,0.5833264568657615,0.03546925484813983,0.02965991602803115,3.8476771393557625
0,39,0.5403368332789978,0.010828816647909117,0.05127742627169937,0.8656501052010572,0.049676853947166824,0.012385807634564117,3.8713736358375272
0,15,0.48466427988139915,0.005857579760462977,0.027587982434546576,0.30565824132878333,0.01106042949773837,0.009067054969200398,3.9721136410447153
15,55,1,0.002,0.1,1,0.024457771667902067,0.02499198147501453,4.1065136154263495
