Epoch,Iteration,nu,p,beta,eta,tau,error
2,52,1,0.06,0.5,0.07135371221087,0.075,1.7901238971091171
0,36,0.7378997120074928,0.043597503499034795,0.6602605187147856,0.13605372327414808,0.044931501923245375,2.1223001009002305
32,82,1,0.02906718783201994,0.5,0.1634233873964822,0,2.3561351324395075
0,27,0.5288230787171051,0.029759879210758955,0.7097558032232336,0.11953162174264434,0.012412485816981643,2.450168384328776
0,20,0.790303038097918,0.008945834281975401,0.9124385441234335,0.023682543626055125,0.055375902744359336,2.5626693001019634
0,49,0.2784535124199465,0.03865833113989327,0.962846496119164,0.22059472064184957,0.008998776786960662,2.641806288114709
3,53,1,0.009414551588041782,0.6276517962452081,0,0.075,2.671229941833236
0,16,0.2409912713151425,0.012672955595599486,0.9848377550509758,0.15457121932203882,0.011943179819500072,2.6753069472323068
0,8,0.43365114655345677,0.010394716093875468,0.8591664662747645,0.039536916696815756,0.058896370951901186,2.7282529163991076
0,2,0.3476301727211103,0.015901809426331893,0.6268721075542272,0.17080467276787387,0.0051916133137419815,2.7411255438549467
0,23,0.3636101899901405,0.018911216272879394,0.570935896213632,0.08906314582179767,0.04295264742756262,2.7880460909634244
0,29,0.7199481834797189,0.03191784859322943,0.9075549984909594,0.06897952701989563,0.06412053116841707,2.8308444270054345
0,48,0.028423186680302023,0.048096760208904736,0.6906559216231107,0.14485725393751636,0.013590715298079885,2.8699379875041404
0,50,0.10390213228296488,0.053556088940673506,0.8994859296712093,0.1739308784608729,0.01873959753115196,3.008904171893921
0,25,0.5944944629026577,0.023220757692325858,0.8608426281134598,0.161048002335825,0.049655015776748766,3.0301095397599993
0,33,0.9976812991406768,0.04207467310714535,0.5805373591696843,0.21860750248236582,0.020295035357354208,3.03859430756916
35,85,1,0.01367230736100334,0.9416971478612554,0.10470573887890149,0.075,3.0693566733235547
0,45,0.41916017219424245,0.020118821855299174,0.8187556803785265,0.205032932553906,0.017145206138840876,3.1433204510124484
21,71,0.7595827472359835,0.012549336111258115,0.5,0.03229555324569886,0.075,3.1638340306453903
0,44,0.6815653150575236,0.02546071993621066,0.678794518862851,0.19867486908787396,0.03283108615293168,3.2747583139629723
0,37,0.7680944893695414,0.017478732374105604,0.5562213303660974,0.09087222151772585,0.05716496497706976,3.2759748735287397
