Epoch,Iteration,nu,p,r,beta,eta,tau,error
21,71,0.8,0.06,0.05,0.4,0.1609108122448163,0.02123713635571138,1.1918865699674313
27,77,0.8,0.06,0.05,0.4,0.20362722270703743,0.001,1.266919491901132
29,79,0.8,0.06,0.01,0.4,0.15643784970063424,0.03064771270180336,1.7625837419484531
6,56,0.2,0.06,0.05,0.9,0.1640835973169661,0.01053915195140294,1.7771335193029592
0,44,0.3775652950908989,0.045185417127329854,0.03605247324425727,0.7965549302962609,0.13327378166788256,0.03792694593825843,1.8039014226076604
0,38,0.7729667570898311,0.01728378113848157,0.047070253855921326,0.7337925759330393,0.08341856055660173,0.02319235071546864,1.8271547357223485
0,28,0.6589350498728455,0.05535170747106895,0.025185506634414198,0.43564418045338243,0.06162885537184774,0.061254111930863005,1.8632868114609817
0,47,0.41991844369284814,0.04410862509580329,0.01865205107294023,0.6403880872973241,0.15237372227422893,0.014919958910136484,2.0845228013319583
25,75,0.8,0.01,0.05,0.4,0.11052506355147937,0.001,2.106912791136637
30,80,0.2,0.06,0.01,0.9,0.1594809432263915,0.03200863873461621,2.121254232071855
19,69,0.8,0.021123115874190884,0.05,0.9,0.09106339346663796,0.054525465924209544,2.1511696765224646
5,55,0.8,0.06,0.05,0.9,0.09221656137837195,0.06283679021898211,2.3429307292456425
15,65,0.8,0.06,0.05,0.4,0.3,0.001,2.3693272351990573
12,62,0.2,0.06,0.01,0.4,0.18452303738377063,0.001,2.6467252514439004
0,14,0.43358051990251995,0.05136160945007578,0.0435392511786893,0.4226609576679766,0.23599725625170395,0.007936435562097468,2.6813550522521536
13,63,0.8,0.04556919987997014,0.05,0.4,0.08251825495107593,0.06443390017439733,2.702257718035286
0,29,0.46668804183881735,0.02517967335158028,0.016831403516232968,0.6250669704191387,0.14102228087792174,0.04870241223813967,2.919603007866841
0,32,0.319930501550436,0.057634660731768234,0.021753061068430543,0.6922542540216818,0.17495328633738683,0.055970191415571614,3.012653612474201
11,61,0.2,0.048067676905387935,0.05,0.9,0.3,0.001,3.0607273038087968
17,67,0.2,0.03906919454349126,0.01,0.9,0.16561861745429288,0.06403145313887924,3.118647898284332
0,26,0.6454402217669413,0.024374589039944113,0.020166281286254528,0.8603277346049436,0.05233371388809756,0.06833371079949196,3.144070890355642
